
===== sniffer session 2026-09-25 02:06:22.142324 =====
[connected rc=Success] subscribed #
02:06:50.558 | Fan/Status | {"IsAC":true,"OverClockingSwitch":"0","OperatingMode":"0","GamingProfileIndex":"0","OfficeProfileIndex":"0","TurboProfileIndex":"0","CustomProfileIndex":"0","FanBoostEnable":"0","ProfileName":"Mode2_Profile1","FAN_FanSwitchSpeedEnabled":"0","FAN_FanSwitchSpeed":"300","FAN_TableName":"M2T1","FAN_SafetyProtectNotify":"0","FAN_SafetyProtect":"0","CPU_PL1":"45","CPU_PL1Maximum":"145","CPU_PL1Minimum":"10","CPU_PL2":"45","CPU_PL2Maximum":"145","CPU_PL2Minimum":"10","CPU_PL4":"45","CPU_PL4Maximum":"174","CPU_PL4Minimum":"10","CPU_OffsetCoreVoltage":"0","CPU_OffsetCoreVoltageOC":"0","CPU_OffsetCoreVoltageMaximum":"0","CPU_OffsetCoreVoltageMinimum":"0","CPU_OffsetCoreVoltageSupport":"255","CPU_TccOffsetSwitch":"0","CPU_TccOffsetMaximum":"98","CPU_TccOffset":"95","GPU_CoreClockOffset":"0","GPU_CoreClockOffsetOC":"0","GPU_CoreClockOffsetMaximum":"250","GPU_CoreClockOffsetMaximumHWOC":"250","GPU_CoreClockOffsetMinimum":"0","GPU_MemoryClockOffset":"0","GPU_MemoryClockOffsetOC":"0","GPU_MemoryClockOffsetMaximum":"1000","GPU_MemoryClockOffsetMaximumHWOC":"1800","GPU_MemoryClockOffsetMinimum":"-1000","GPU_MemoryClockOffsetMinimumHWOC":"-1800","GPU_TargetTemperature":"87","GPU_TargetTemperatureMax...<truncated>
02:06:52.150 | Fan/Control | {"Action":"GETSTATUS"}
02:06:52.199 | Fan/Status | {"IsAC":true,"OverClockingSwitch":"0","OperatingMode":"0","GamingProfileIndex":"0","OfficeProfileIndex":"0","TurboProfileIndex":"0","CustomProfileIndex":"0","FanBoostEnable":"0","ProfileName":"Mode2_Profile1","FAN_FanSwitchSpeedEnabled":"0","FAN_FanSwitchSpeed":"300","FAN_TableName":"M2T1","FAN_SafetyProtectNotify":"0","FAN_SafetyProtect":"0","CPU_PL1":"45","CPU_PL1Maximum":"145","CPU_PL1Minimum":"10","CPU_PL2":"45","CPU_PL2Maximum":"145","CPU_PL2Minimum":"10","CPU_PL4":"45","CPU_PL4Maximum":"174","CPU_PL4Minimum":"10","CPU_OffsetCoreVoltage":"0","CPU_OffsetCoreVoltageOC":"0","CPU_OffsetCoreVoltageMaximum":"0","CPU_OffsetCoreVoltageMinimum":"0","CPU_OffsetCoreVoltageSupport":"255","CPU_TccOffsetSwitch":"0","CPU_TccOffsetMaximum":"98","CPU_TccOffset":"95","GPU_CoreClockOffset":"0","GPU_CoreClockOffsetOC":"0","GPU_CoreClockOffsetMaximum":"250","GPU_CoreClockOffsetMaximumHWOC":"250","GPU_CoreClockOffsetMinimum":"0","GPU_MemoryClockOffset":"0","GPU_MemoryClockOffsetOC":"0","GPU_MemoryClockOffsetMaximum":"1000","GPU_MemoryClockOffsetMaximumHWOC":"1800","GPU_MemoryClockOffsetMinimum":"-1000","GPU_MemoryClockOffsetMinimumHWOC":"-1800","GPU_TargetTemperature":"87","GPU_TargetTemperatureMax...<truncated>
02:06:55.151 | Fan/Control | {"Action":"GETSTATUS"}
02:06:55.202 | Fan/Status | {"IsAC":true,"OverClockingSwitch":"0","OperatingMode":"0","GamingProfileIndex":"0","OfficeProfileIndex":"0","TurboProfileIndex":"0","CustomProfileIndex":"0","FanBoostEnable":"0","ProfileName":"Mode2_Profile1","FAN_FanSwitchSpeedEnabled":"0","FAN_FanSwitchSpeed":"300","FAN_TableName":"M2T1","FAN_SafetyProtectNotify":"0","FAN_SafetyProtect":"0","CPU_PL1":"45","CPU_PL1Maximum":"145","CPU_PL1Minimum":"10","CPU_PL2":"45","CPU_PL2Maximum":"145","CPU_PL2Minimum":"10","CPU_PL4":"45","CPU_PL4Maximum":"174","CPU_PL4Minimum":"10","CPU_OffsetCoreVoltage":"0","CPU_OffsetCoreVoltageOC":"0","CPU_OffsetCoreVoltageMaximum":"0","CPU_OffsetCoreVoltageMinimum":"0","CPU_OffsetCoreVoltageSupport":"255","CPU_TccOffsetSwitch":"0","CPU_TccOffsetMaximum":"98","CPU_TccOffset":"95","GPU_CoreClockOffset":"0","GPU_CoreClockOffsetOC":"0","GPU_CoreClockOffsetMaximum":"250","GPU_CoreClockOffsetMaximumHWOC":"250","GPU_CoreClockOffsetMinimum":"0","GPU_MemoryClockOffset":"0","GPU_MemoryClockOffsetOC":"0","GPU_MemoryClockOffsetMaximum":"1000","GPU_MemoryClockOffsetMaximumHWOC":"1800","GPU_MemoryClockOffsetMinimum":"-1000","GPU_MemoryClockOffsetMinimumHWOC":"-1800","GPU_TargetTemperature":"87","GPU_TargetTemperatureMax...<truncated>
02:06:58.151 | Fan/Control | {"Action":"GETSTATUS"}
02:06:58.203 | Fan/Status | {"IsAC":true,"OverClockingSwitch":"0","OperatingMode":"0","GamingProfileIndex":"0","OfficeProfileIndex":"0","TurboProfileIndex":"0","CustomProfileIndex":"0","FanBoostEnable":"0","ProfileName":"Mode2_Profile1","FAN_FanSwitchSpeedEnabled":"0","FAN_FanSwitchSpeed":"300","FAN_TableName":"M2T1","FAN_SafetyProtectNotify":"0","FAN_SafetyProtect":"0","CPU_PL1":"45","CPU_PL1Maximum":"145","CPU_PL1Minimum":"10","CPU_PL2":"45","CPU_PL2Maximum":"145","CPU_PL2Minimum":"10","CPU_PL4":"45","CPU_PL4Maximum":"174","CPU_PL4Minimum":"10","CPU_OffsetCoreVoltage":"0","CPU_OffsetCoreVoltageOC":"0","CPU_OffsetCoreVoltageMaximum":"0","CPU_OffsetCoreVoltageMinimum":"0","CPU_OffsetCoreVoltageSupport":"255","CPU_TccOffsetSwitch":"0","CPU_TccOffsetMaximum":"98","CPU_TccOffset":"95","GPU_CoreClockOffset":"0","GPU_CoreClockOffsetOC":"0","GPU_CoreClockOffsetMaximum":"250","GPU_CoreClockOffsetMaximumHWOC":"250","GPU_CoreClockOffsetMinimum":"0","GPU_MemoryClockOffset":"0","GPU_MemoryClockOffsetOC":"0","GPU_MemoryClockOffsetMaximum":"1000","GPU_MemoryClockOffsetMaximumHWOC":"1800","GPU_MemoryClockOffsetMinimum":"-1000","GPU_MemoryClockOffsetMinimumHWOC":"-1800","GPU_TargetTemperature":"87","GPU_TargetTemperatureMax...<truncated>
02:07:01.151 | Fan/Control | {"Action":"GETSTATUS"}
02:07:01.205 | Fan/Status | {"IsAC":true,"OverClockingSwitch":"0","OperatingMode":"0","GamingProfileIndex":"0","OfficeProfileIndex":"0","TurboProfileIndex":"0","CustomProfileIndex":"0","FanBoostEnable":"0","ProfileName":"Mode2_Profile1","FAN_FanSwitchSpeedEnabled":"0","FAN_FanSwitchSpeed":"300","FAN_TableName":"M2T1","FAN_SafetyProtectNotify":"0","FAN_SafetyProtect":"0","CPU_PL1":"45","CPU_PL1Maximum":"145","CPU_PL1Minimum":"10","CPU_PL2":"45","CPU_PL2Maximum":"145","CPU_PL2Minimum":"10","CPU_PL4":"45","CPU_PL4Maximum":"174","CPU_PL4Minimum":"10","CPU_OffsetCoreVoltage":"0","CPU_OffsetCoreVoltageOC":"0","CPU_OffsetCoreVoltageMaximum":"0","CPU_OffsetCoreVoltageMinimum":"0","CPU_OffsetCoreVoltageSupport":"255","CPU_TccOffsetSwitch":"0","CPU_TccOffsetMaximum":"98","CPU_TccOffset":"95","GPU_CoreClockOffset":"0","GPU_CoreClockOffsetOC":"0","GPU_CoreClockOffsetMaximum":"250","GPU_CoreClockOffsetMaximumHWOC":"250","GPU_CoreClockOffsetMinimum":"0","GPU_MemoryClockOffset":"0","GPU_MemoryClockOffsetOC":"0","GPU_MemoryClockOffsetMaximum":"1000","GPU_MemoryClockOffsetMaximumHWOC":"1800","GPU_MemoryClockOffsetMinimum":"-1000","GPU_MemoryClockOffsetMinimumHWOC":"-1800","GPU_TargetTemperature":"87","GPU_TargetTemperatureMax...<truncated>
02:07:04.152 | Fan/Control | {"Action":"GETSTATUS"}
02:07:04.203 | Fan/Status | {"IsAC":true,"OverClockingSwitch":"0","OperatingMode":"0","GamingProfileIndex":"0","OfficeProfileIndex":"0","TurboProfileIndex":"0","CustomProfileIndex":"0","FanBoostEnable":"0","ProfileName":"Mode2_Profile1","FAN_FanSwitchSpeedEnabled":"0","FAN_FanSwitchSpeed":"300","FAN_TableName":"M2T1","FAN_SafetyProtectNotify":"0","FAN_SafetyProtect":"0","CPU_PL1":"45","CPU_PL1Maximum":"145","CPU_PL1Minimum":"10","CPU_PL2":"45","CPU_PL2Maximum":"145","CPU_PL2Minimum":"10","CPU_PL4":"45","CPU_PL4Maximum":"174","CPU_PL4Minimum":"10","CPU_OffsetCoreVoltage":"0","CPU_OffsetCoreVoltageOC":"0","CPU_OffsetCoreVoltageMaximum":"0","CPU_OffsetCoreVoltageMinimum":"0","CPU_OffsetCoreVoltageSupport":"255","CPU_TccOffsetSwitch":"0","CPU_TccOffsetMaximum":"98","CPU_TccOffset":"95","GPU_CoreClockOffset":"0","GPU_CoreClockOffsetOC":"0","GPU_CoreClockOffsetMaximum":"250","GPU_CoreClockOffsetMaximumHWOC":"250","GPU_CoreClockOffsetMinimum":"0","GPU_MemoryClockOffset":"0","GPU_MemoryClockOffsetOC":"0","GPU_MemoryClockOffsetMaximum":"1000","GPU_MemoryClockOffsetMaximumHWOC":"1800","GPU_MemoryClockOffsetMinimum":"-1000","GPU_MemoryClockOffsetMinimumHWOC":"-1800","GPU_TargetTemperature":"87","GPU_TargetTemperatureMax...<truncated>
02:07:07.153 | Fan/Control | {"Action":"GETSTATUS"}
02:07:07.197 | Fan/Status | {"IsAC":true,"OverClockingSwitch":"0","OperatingMode":"0","GamingProfileIndex":"0","OfficeProfileIndex":"0","TurboProfileIndex":"0","CustomProfileIndex":"0","FanBoostEnable":"0","ProfileName":"Mode2_Profile1","FAN_FanSwitchSpeedEnabled":"0","FAN_FanSwitchSpeed":"300","FAN_TableName":"M2T1","FAN_SafetyProtectNotify":"0","FAN_SafetyProtect":"0","CPU_PL1":"45","CPU_PL1Maximum":"145","CPU_PL1Minimum":"10","CPU_PL2":"45","CPU_PL2Maximum":"145","CPU_PL2Minimum":"10","CPU_PL4":"45","CPU_PL4Maximum":"174","CPU_PL4Minimum":"10","CPU_OffsetCoreVoltage":"0","CPU_OffsetCoreVoltageOC":"0","CPU_OffsetCoreVoltageMaximum":"0","CPU_OffsetCoreVoltageMinimum":"0","CPU_OffsetCoreVoltageSupport":"255","CPU_TccOffsetSwitch":"0","CPU_TccOffsetMaximum":"98","CPU_TccOffset":"95","GPU_CoreClockOffset":"0","GPU_CoreClockOffsetOC":"0","GPU_CoreClockOffsetMaximum":"250","GPU_CoreClockOffsetMaximumHWOC":"250","GPU_CoreClockOffsetMinimum":"0","GPU_MemoryClockOffset":"0","GPU_MemoryClockOffsetOC":"0","GPU_MemoryClockOffsetMaximum":"1000","GPU_MemoryClockOffsetMaximumHWOC":"1800","GPU_MemoryClockOffsetMinimum":"-1000","GPU_MemoryClockOffsetMinimumHWOC":"-1800","GPU_TargetTemperature":"87","GPU_TargetTemperatureMax...<truncated>
02:07:10.153 | Fan/Control | {"Action":"GETSTATUS"}
02:07:10.202 | Fan/Status | {"IsAC":true,"OverClockingSwitch":"0","OperatingMode":"0","GamingProfileIndex":"0","OfficeProfileIndex":"0","TurboProfileIndex":"0","CustomProfileIndex":"0","FanBoostEnable":"0","ProfileName":"Mode2_Profile1","FAN_FanSwitchSpeedEnabled":"0","FAN_FanSwitchSpeed":"300","FAN_TableName":"M2T1","FAN_SafetyProtectNotify":"0","FAN_SafetyProtect":"0","CPU_PL1":"45","CPU_PL1Maximum":"145","CPU_PL1Minimum":"10","CPU_PL2":"45","CPU_PL2Maximum":"145","CPU_PL2Minimum":"10","CPU_PL4":"45","CPU_PL4Maximum":"174","CPU_PL4Minimum":"10","CPU_OffsetCoreVoltage":"0","CPU_OffsetCoreVoltageOC":"0","CPU_OffsetCoreVoltageMaximum":"0","CPU_OffsetCoreVoltageMinimum":"0","CPU_OffsetCoreVoltageSupport":"255","CPU_TccOffsetSwitch":"0","CPU_TccOffsetMaximum":"98","CPU_TccOffset":"95","GPU_CoreClockOffset":"0","GPU_CoreClockOffsetOC":"0","GPU_CoreClockOffsetMaximum":"250","GPU_CoreClockOffsetMaximumHWOC":"250","GPU_CoreClockOffsetMinimum":"0","GPU_MemoryClockOffset":"0","GPU_MemoryClockOffsetOC":"0","GPU_MemoryClockOffsetMaximum":"1000","GPU_MemoryClockOffsetMaximumHWOC":"1800","GPU_MemoryClockOffsetMinimum":"-1000","GPU_MemoryClockOffsetMinimumHWOC":"-1800","GPU_TargetTemperature":"87","GPU_TargetTemperatureMax...<truncated>
02:07:13.153 | Fan/Control | {"Action":"GETSTATUS"}
02:07:13.200 | Fan/Status | {"IsAC":true,"OverClockingSwitch":"0","OperatingMode":"0","GamingProfileIndex":"0","OfficeProfileIndex":"0","TurboProfileIndex":"0","CustomProfileIndex":"0","FanBoostEnable":"0","ProfileName":"Mode2_Profile1","FAN_FanSwitchSpeedEnabled":"0","FAN_FanSwitchSpeed":"300","FAN_TableName":"M2T1","FAN_SafetyProtectNotify":"0","FAN_SafetyProtect":"0","CPU_PL1":"45","CPU_PL1Maximum":"145","CPU_PL1Minimum":"10","CPU_PL2":"45","CPU_PL2Maximum":"145","CPU_PL2Minimum":"10","CPU_PL4":"45","CPU_PL4Maximum":"174","CPU_PL4Minimum":"10","CPU_OffsetCoreVoltage":"0","CPU_OffsetCoreVoltageOC":"0","CPU_OffsetCoreVoltageMaximum":"0","CPU_OffsetCoreVoltageMinimum":"0","CPU_OffsetCoreVoltageSupport":"255","CPU_TccOffsetSwitch":"0","CPU_TccOffsetMaximum":"98","CPU_TccOffset":"95","GPU_CoreClockOffset":"0","GPU_CoreClockOffsetOC":"0","GPU_CoreClockOffsetMaximum":"250","GPU_CoreClockOffsetMaximumHWOC":"250","GPU_CoreClockOffsetMinimum":"0","GPU_MemoryClockOffset":"0","GPU_MemoryClockOffsetOC":"0","GPU_MemoryClockOffsetMaximum":"1000","GPU_MemoryClockOffsetMaximumHWOC":"1800","GPU_MemoryClockOffsetMinimum":"-1000","GPU_MemoryClockOffsetMinimumHWOC":"-1800","GPU_TargetTemperature":"87","GPU_TargetTemperatureMax...<truncated>
